com.samsung.shealth.step_daily_trend,6307003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
a9773b10-f7eb-48be-8edd-012145d308e1.binning_data.json,2024-06-02 17:50:15.530,2024-06-02 17:50:15.530,com.sec.android.app.shealth,0,5971,1.4543151,4470.42,195.55998,XLy3VBYEN4,com.sec.android.app.shealth,a9773b10-f7eb-48be-8edd-012145d308e1,1698969600000,
bc0daf86-b9e0-4737-9152-ce39aa152b70.binning_data.json,2024-06-02 17:50:15.532,2024-06-02 17:50:15.532,com.sec.android.app.shealth,0,9739,1.4734781,7244.13,308.62997,XLy3VBYEN4,com.sec.android.app.shealth,bc0daf86-b9e0-4737-9152-ce39aa152b70,1699660800000,
bea9b3e1-3b9b-460e-a6f6-a4104716b16c.binning_data.json,2024-06-02 17:50:15.531,2024-06-02 17:50:15.531,com.sec.android.app.shealth,0,3293,1.4352046,2426.47,103.2,XLy3VBYEN4,com.sec.android.app.shealth,bea9b3e1-3b9b-460e-a6f6-a4104716b16c,1699315200000,
62e8ec62-5871-446f-beeb-7daf8e391e4d.binning_data.json,2024-06-02 17:50:15.529,2024-06-02 17:50:15.529,com.sec.android.app.shealth,0,4472,1.4795618,3340.98,143.08,XLy3VBYEN4,com.sec.android.app.shealth,62e8ec62-5871-446f-beeb-7daf8e391e4d,1698537600000,
563f1428-702f-4804-8036-e24ca28f7dd9.binning_data.json,2024-06-02 17:50:15.530,2024-06-02 17:50:15.530,com.sec.android.app.shealth,0,9267,1.391439,6815.8,295.31998,XLy3VBYEN4,com.sec.android.app.shealth,563f1428-702f-4804-8036-e24ca28f7dd9,1698883200000,
7669534f-d354-498e-b48e-dc20280917bd.binning_data.json,2024-06-02 17:50:15.531,2024-06-02 17:50:15.531,com.sec.android.app.shealth,0,7326,1.3763399,5335.15,226.48996,XLy3VBYEN4,com.sec.android.app.shealth,7669534f-d354-498e-b48e-dc20280917bd,1699488000000,
59482108-4b04-479e-93ff-5ed3c2a41158.binning_data.json,2024-06-02 17:50:15.532,2024-06-02 17:50:15.532,com.sec.android.app.shealth,0,5892,1.3989851,4314.93,181.62999,XLy3VBYEN4,com.sec.android.app.shealth,59482108-4b04-479e-93ff-5ed3c2a41158,1699574400000,
d7c8a694-ca9b-4f7f-980e-525a93aa01ad.binning_data.json,2024-06-02 17:50:15.534,2024-06-02 17:50:15.534,com.sec.android.app.shealth,0,8267,1.5869191,6612.6,267.55997,XLy3VBYEN4,com.sec.android.app.shealth,d7c8a694-ca9b-4f7f-980e-525a93aa01ad,1700265600000,
a1504a59-fb3e-4f54-9706-15fb53f15fa1.binning_data.json,2024-06-02 17:50:15.533,2024-06-02 17:50:15.533,com.sec.android.app.shealth,0,1460,1.4006538,1073.34,45.189995,XLy3VBYEN4,com.sec.android.app.shealth,a1504a59-fb3e-4f54-9706-15fb53f15fa1,1700006400000,
ad071ee3-9ac8-4648-889e-aa9678a607a0.binning_data.json,2024-06-02 17:50:15.531,2024-06-02 17:50:15.531,com.sec.android.app.shealth,0,7347,1.350767,5348.55,229.22998,XLy3VBYEN4,com.sec.android.app.shealth,ad071ee3-9ac8-4648-889e-aa9678a607a0,1699228800000,
26dcf450-07bd-4a5f-aac7-d879795d37cc.binning_data.json,2024-06-02 17:50:15.534,2024-06-02 17:50:15.534,com.sec.android.app.shealth,0,7926,1.58487,6318.35,254.82999,XLy3VBYEN4,com.sec.android.app.shealth,26dcf450-07bd-4a5f-aac7-d879795d37cc,1700179200000,
e7a53b41-4e7c-4ee4-b151-6f877145f269.binning_data.json,2024-06-02 17:50:15.535,2024-06-02 17:50:15.535,com.sec.android.app.shealth,0,4875,1.4593449,3598.78,150.85999,XLy3VBYEN4,com.sec.android.app.shealth,e7a53b41-4e7c-4ee4-b151-6f877145f269,1700870400000,
c3830eb0-e32d-4498-b528-d54c24138cb5.binning_data.json,2024-06-02 17:50:15.532,2024-06-02 17:50:15.532,com.sec.android.app.shealth,0,5291,1.5930076,4070.0198,180.88998,XLy3VBYEN4,com.sec.android.app.shealth,c3830eb0-e32d-4498-b528-d54c24138cb5,1699747200000,
f8dfdc0f-6ef9-434e-9c53-abbba0d32987.binning_data.json,2024-06-02 17:50:15.534,2024-06-02 17:50:15.534,com.sec.android.app.shealth,0,4050,1.515624,3187.95,128.54999,XLy3VBYEN4,com.sec.android.app.shealth,f8dfdc0f-6ef9-434e-9c53-abbba0d32987,1700524800000,
20abbdfb-3cf6-46d5-a0be-1a8434ad275c.binning_data.json,2024-06-02 17:50:15.530,2024-06-02 17:50:15.530,com.sec.android.app.shealth,0,3819,1.4332744,2806.08,118.88999,XLy3VBYEN4,com.sec.android.app.shealth,20abbdfb-3cf6-46d5-a0be-1a8434ad275c,1699142400000,
