com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
19234,4,0,32,2025-12-04 23:46:00.000,,,2025-12-04 23:47:26.411,2025-12-04 23:47:26.411,32,1.1666666,22.44,1.0,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:47:00.000,67167bf1-2825-4957-946a-5a01ba2d6b52,
42434,4,0,80,2025-12-04 23:50:00.000,,,2025-12-04 23:52:35.650,2025-12-04 23:50:39.401,80,1.433733,60.84,2.51,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:51:00.000,470e5da7-3702-434d-82fa-c1e49ad51283,
625,4,0,1,2025-12-04 23:51:00.000,,,2025-12-04 23:52:35.933,2025-12-04 23:52:35.933,1,1.1666666,0.73,0.03,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:52:00.000,015e0c0e-1d62-49ea-8a59-bc11bacf854c,
26140,4,0,45,2025-12-04 23:53:00.000,,,2025-12-04 23:54:46.624,2025-12-04 23:54:46.624,45,1.2222222,31.95,1.39,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:54:00.000,7cb05de8-6664-45b2-b163-38f48ca0b541,
7723,4,0,11,2025-12-04 23:54:00.000,,,2025-12-04 23:54:46.741,2025-12-04 23:54:46.741,11,0.9166667,7.08,0.41,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:55:00.000,495b8de5-c7c8-4591-a91c-3793fbd3c2cf,
14745,4,0,25,2025-12-04 23:55:00.000,,,2025-12-04 23:58:05.699,2025-12-04 23:55:39.357,25,1.1996715,17.69,0.82,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:56:00.000,ece89858-d559-4692-ab11-c91a1fab3b3c,
6985,4,0,11,2025-12-04 23:58:00.000,,,2025-12-04 23:58:59.914,2025-12-04 23:58:59.735,11,1.0607808,7.41,0.34,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:59:00.000,e3b2bd86-5bb3-42b1-af69-5e67da864837,
1760,4,0,3,2025-12-04 23:59:00.000,,,2025-12-04 23:59:05.083,2025-12-04 23:59:05.083,3,1.25,2.2,0.09,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 00:00:00.000,ea06ed84-5f32-4f77-ba91-449bf585a19d,
15172,4,0,25,2025-12-05 00:04:00.000,,,2025-12-05 00:05:30.374,2025-12-05 00:05:30.374,25,1.1388888,17.28,0.82,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 00:05:00.000,9e6f6606-8a7f-4245-bb4b-3d637a72316b,
36093,4,0,59,2025-12-05 00:05:00.000,,,2025-12-05 00:07:02.006,2025-12-05 00:05:30.487,59,1.1531144,41.620003,1.79,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 00:06:00.000,e37ad2cd-5f49-48ec-9c8e-2aed417412cd,
