com.samsung.shealth.calories_burned.details,6307003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
200,,d92b975d-7071-44bd-a721-4a8c117d8cfe.extra_data.json,,0.0,63060070,0.0,6553887,1276.4999,63070030,2025-12-16 01:01:43.058,2025-12-11 03:00:00.508,331.76,bvFPH0+ZC9,com.sec.android.app.shealth,d92b975d-7071-44bd-a721-4a8c117d8cfe,1765411200000,
200,,80749f8b-dc13-468f-8965-4c04288d7138.extra_data.json,,0.0,63060070,0.0,3363208,1327.5093,63070030,2025-12-16 01:01:43.071,2025-12-12 03:00:00.460,159.17995,bvFPH0+ZC9,com.sec.android.app.shealth,80749f8b-dc13-468f-8965-4c04288d7138,1765497600000,
,,15e61108-20dc-4be6-93b2-59fe44b0d8a8.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.314,2023-10-10 17:45:22.197,0.0,zygK3IiKBU,com.sec.android.app.shealth,15e61108-20dc-4be6-93b2-59fe44b0d8a8,1694995200000,
,,3dd454ce-0cfa-4527-9e7a-2e1f3d4cdb40.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.367,2023-10-10 17:45:22.223,0.0,zygK3IiKBU,com.sec.android.app.shealth,3dd454ce-0cfa-4527-9e7a-2e1f3d4cdb40,1695081600000,
,,57b47317-3d5c-4c82-a170-417361a0b7ed.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.400,2023-10-10 17:45:22.228,0.0,zygK3IiKBU,com.sec.android.app.shealth,57b47317-3d5c-4c82-a170-417361a0b7ed,1695168000000,
,,44a7c6b8-69a3-4560-ab6f-9ab1d4ef259d.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.151,2023-10-10 17:45:22.063,0.0,zygK3IiKBU,com.sec.android.app.shealth,44a7c6b8-69a3-4560-ab6f-9ab1d4ef259d,1694563200000,
,,609983b5-908c-4362-aad1-29005b5f0210.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.229,2023-10-10 17:45:22.137,0.0,zygK3IiKBU,com.sec.android.app.shealth,609983b5-908c-4362-aad1-29005b5f0210,1694736000000,
,,0aa0a06a-4f6e-4807-8e97-a32e189ba9ce.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.293,2023-10-10 17:45:22.178,0.0,zygK3IiKBU,com.sec.android.app.shealth,0aa0a06a-4f6e-4807-8e97-a32e189ba9ce,1694908800000,
,,a9d8954b-8382-4487-9349-273ca15c30c3.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.192,2023-10-10 17:45:22.083,0.0,zygK3IiKBU,com.sec.android.app.shealth,a9d8954b-8382-4487-9349-273ca15c30c3,1694649600000,
,,871dd24e-1b61-4493-8e95-db0ca8002b9b.extra_data.json,,,,0.0,0,1454.6661,,2023-10-10 17:48:22.270,2023-10-10 17:45:22.160,0.0,zygK3IiKBU,com.sec.android.app.shealth,871dd24e-1b61-4493-8e95-db0ca8002b9b,1694822400000,
,,955a7050-eb64-4a19-9619-ca932813cc66.extra_data.json,,,,0.0,0,1454.6661,,2023-10-18 23:53:22.424,2023-10-10 17:45:22.315,0.0,zygK3IiKBU,com.sec.android.app.shealth,955a7050-eb64-4a19-9619-ca932813cc66,1695513600000,
