com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2025-05-21 00:00:00.000,,,1,,2025-05-23 00:05:11.792,2025-05-23 00:05:11.792,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-05-21 00:00:00.000,59fef437-f859-404c-964a-c18c460cc10c,
1,2025-05-23 03:00:00.000,,,1,,2025-05-23 14:17:00.481,2025-05-23 14:17:00.481,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-24 02:59:59.999,7d2f7a2a-5bf9-4f8a-ad7b-b416f6d08e1f,
1,2025-05-27 03:00:00.000,,,1,,2025-05-27 13:18:53.604,2025-05-27 13:18:53.604,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-28 02:59:59.999,2bf08e27-8053-4df2-9e98-9589b4ca8dd2,
1,2025-05-29 03:00:00.000,,,1,,2025-05-29 13:09:15.616,2025-05-29 13:09:15.616,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-30 02:59:59.999,fd75faa5-662f-4749-a30a-954618a86952,
,2025-05-29 00:00:00.000,,,1,,2025-05-29 13:09:18.374,2025-05-29 13:09:18.374,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-05-29 00:00:00.000,670aa623-5996-4564-abc1-65c6c05cbc13,
,2025-05-31 00:00:00.000,,,1,,2025-05-31 13:23:32.580,2025-05-31 13:23:32.580,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-05-31 00:00:00.000,e8cd18eb-661f-4c97-b83a-2a54034f03da,
1,2025-06-19 03:00:00.000,,,1,,2025-06-19 15:59:58.273,2025-06-19 15:59:58.273,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-06-20 02:59:59.999,6c2335a5-8cac-4b92-bfa0-9b6ec324c1d8,
0,2025-06-30 00:00:00.000,,,0,,2025-07-02 03:00:08.787,2025-07-01 03:00:07.842,,nutrition_7_days_streak,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,goal.nutrition,2025-06-30 23:59:59.999,4f3cf429-3be2-4c9f-bf5a-379c91d0f394,
,2025-07-08 00:00:00.000,,,1,,2025-07-08 11:22:40.757,2025-07-08 11:22:40.757,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-07-08 00:00:00.000,165a7bae-18c3-4a62-aa30-c77633004cf6,
,2025-07-30 00:00:00.000,,,1,,2025-07-30 12:56:42.243,2025-07-30 12:56:42.243,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-07-30 00:00:00.000,30c8f74b-8d12-43fd-b448-13e5a5bbf06e,
,2025-07-31 00:00:00.000,,,1,,2025-07-31 12:07:42.519,2025-07-31 12:07:42.519,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-07-31 00:00:00.000,48fdbbb0-3cf9-48c3-90f9-ed8583e11da4,
,2025-08-08 00:00:00.000,,,1,,2025-08-08 09:55:32.665,2025-08-08 09:55:32.665,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-08 00:00:00.000,030e90fa-77ef-488c-926e-593e7c988164,
,2025-08-09 00:00:00.000,,,1,,2025-08-09 12:02:19.508,2025-08-09 12:02:19.508,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-09 00:00:00.000,76ee93d5-cc68-4a63-81ac-8d370cbfa5e6,
1,2025-08-14 03:00:00.000,,,1,,2025-08-14 10:14:21.477,2025-08-14 10:14:21.477,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-08-15 02:59:59.999,455271e7-7b8c-4d75-b208-00a96610888f,
1,2025-08-17 03:00:00.000,,,1,,2025-08-17 13:20:23.924,2025-08-17 13:20:23.924,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-08-18 02:59:59.999,e5c57e3f-35f2-43de-b962-15e7b600b2fc,
,2025-08-21 00:00:00.000,,,1,,2025-08-21 10:22:36.789,2025-08-21 10:22:36.789,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-21 00:00:00.000,c4af296b-6edd-40ad-a722-e3a407fab90e,
,2025-08-23 00:00:00.000,,,1,,2025-08-23 10:23:03.635,2025-08-23 10:23:03.635,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-23 00:00:00.000,5a2aa31f-889f-4436-ae21-7e496df068fe,
,2025-08-24 00:00:00.000,,,1,,2025-08-24 14:18:47.876,2025-08-24 14:18:47.876,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-24 00:00:00.000,611e2db9-e6f4-4677-9c49-d2c5089784b8,
,2025-08-25 00:00:00.000,,,1,,2025-08-25 10:55:21.147,2025-08-25 10:55:21.147,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-25 00:00:00.000,a20a730d-729a-4e25-bc19-d0254d7ddeb1,
,2025-08-26 00:00:00.000,,,1,,2025-08-26 22:20:05.773,2025-08-26 22:20:05.773,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-26 00:00:00.000,d3040fcd-4bdc-4a36-b2e0-a357207cee30,
,2025-08-27 00:00:00.000,,,1,,2025-08-27 12:20:44.921,2025-08-27 12:20:44.921,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-08-27 00:00:00.000,b0a94a91-ea46-42a3-a5ce-6f1bb3ee0205,
