com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,11613,fb60490a-dd6b-4acb-a915-fa50ac55a851.binning_data.json,6311682,6000,,74,2023-10-17 03:00:09.873,com.sec.android.app.shealth,2023-10-16 03:00:08.155,,1.3859663,8747.779,416.2398,11539,60rRju/E5J,com.sec.android.app.shealth,0,fb60490a-dd6b-4acb-a915-fa50ac55a851.achievement.json,fb60490a-dd6b-4acb-a915-fa50ac55a851,1697328000000,
,3059,7b141b8b-7add-44bc-b203-3feff026b1ae.binning_data.json,1664301,6000,,44,2023-10-18 03:00:03.539,com.sec.android.app.shealth,2023-10-18 03:00:03.539,,1.382138,2300.2942,109.539665,3015,60rRju/E5J,com.sec.android.app.shealth,0,7b141b8b-7add-44bc-b203-3feff026b1ae.achievement.json,7b141b8b-7add-44bc-b203-3feff026b1ae,1697500800000,
,8330,dd0199f9-cc89-4988-8919-1adad92674c7.binning_data.json,4446959,6000,,42,2023-10-18 03:00:03.135,com.sec.android.app.shealth,2023-10-16 03:14:22.617,dd0199f9-cc89-4988-8919-1adad92674c7.source_info.json,1.4324273,6369.9463,269.1312,8288,VfS0qUERdZ,com.sec.android.app.shealth,0,dd0199f9-cc89-4988-8919-1adad92674c7.achievement.json,dd0199f9-cc89-4988-8919-1adad92674c7,1697414400000,
,4109,30dc1a27-25f8-4d23-818c-4f6cfb96fbb4.binning_data.json,2135617,6000,,44,2023-10-18 02:58:49.145,com.sec.android.app.shealth,2023-10-17 12:37:33.104,30dc1a27-25f8-4d23-818c-4f6cfb96fbb4.source_info.json,1.4832028,3167.5542,134.89966,4065,VfS0qUERdZ,com.sec.android.app.shealth,0,30dc1a27-25f8-4d23-818c-4f6cfb96fbb4.achievement.json,30dc1a27-25f8-4d23-818c-4f6cfb96fbb4,1697500800000,
,3121,47a7ca5c-a43c-43b1-9328-8eaa1c0a0187.binning_data.json,1565832,6000,,0,2023-10-18 03:00:02.075,com.sec.android.app.shealth,2023-10-18 03:00:02.075,,1.5681311,2455.43,96.07,3121,zygK3IiKBU,com.sec.android.app.shealth,0,47a7ca5c-a43c-43b1-9328-8eaa1c0a0187.achievement.json,47a7ca5c-a43c-43b1-9328-8eaa1c0a0187,1697500800000,
,7150,fee016ca-f0fd-4d5e-8b5b-a7506900aad7.binning_data.json,3935944,6000,,27,2023-10-18 03:00:03.543,com.sec.android.app.shealth,2023-10-17 03:00:09.856,,1.3592669,5349.9985,250.38222,7123,60rRju/E5J,com.sec.android.app.shealth,0,fee016ca-f0fd-4d5e-8b5b-a7506900aad7.achievement.json,fee016ca-f0fd-4d5e-8b5b-a7506900aad7,1697414400000,
,978,2af99742-efb5-4f83-9228-84124769029e.binning_data.json,476493,6000,,27,2023-10-19 03:04:46.469,com.sec.android.app.shealth,2023-10-19 03:04:46.469,,1.6588281,790.42004,31.789997,951,zygK3IiKBU,com.sec.android.app.shealth,0,2af99742-efb5-4f83-9228-84124769029e.achievement.json,2af99742-efb5-4f83-9228-84124769029e,1697587200000,
,4162,54b9e289-38fe-4b0e-8ed1-0453ac5742b9.binning_data.json,2253468,6000,,49,2023-10-19 04:12:48.269,com.sec.android.app.shealth,2023-10-18 03:19:18.013,54b9e289-38fe-4b0e-8ed1-0453ac5742b9.source_info.json,1.3842481,3119.3599,144.28033,4113,VfS0qUERdZ,com.sec.android.app.shealth,0,54b9e289-38fe-4b0e-8ed1-0453ac5742b9.achievement.json,54b9e289-38fe-4b0e-8ed1-0453ac5742b9,1697587200000,
,9930,3ee07068-c880-4fe6-b8b4-cfcef04d8abb.binning_data.json,5372806,6000,,72,2023-10-20 02:35:36.494,com.sec.android.app.shealth,2023-10-19 03:04:45.664,3ee07068-c880-4fe6-b8b4-cfcef04d8abb.source_info.json,1.4142439,7598.4595,331.6899,9858,VfS0qUERdZ,com.sec.android.app.shealth,0,3ee07068-c880-4fe6-b8b4-cfcef04d8abb.achievement.json,3ee07068-c880-4fe6-b8b4-cfcef04d8abb,1697673600000,
,3831,32a32f2a-985f-41dd-a90e-3c10898374f7.binning_data.json,2106334,6000,,28,2023-10-20 03:00:09.044,com.sec.android.app.shealth,2023-10-20 03:00:09.044,,1.3460008,2835.1282,134.48248,3803,60rRju/E5J,com.sec.android.app.shealth,0,32a32f2a-985f-41dd-a90e-3c10898374f7.achievement.json,32a32f2a-985f-41dd-a90e-3c10898374f7,1697587200000,
