com.samsung.shealth.report,6307003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Sao_Paulo,1715482800000,2024-05-19 16:28:12.565,2024-05-19 16:28:12.565,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,a427c94a-f014-405c-9419-380cb44ad680,a427c94a-f014-405c-9419-380cb44ad680.compressed_content.json,
America/Sao_Paulo,1716692400000,2024-06-02 13:27:12.908,2024-06-02 13:27:12.908,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,005be372-7227-433c-b0af-7ee584f28822,005be372-7227-433c-b0af-7ee584f28822.compressed_content.json,
America/Sao_Paulo,1717297200000,2024-06-09 16:58:12.800,2024-06-09 16:58:12.800,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,101ce2ce-92a8-4218-980f-0b941d9573fb,101ce2ce-92a8-4218-980f-0b941d9573fb.compressed_content.json,
America/Sao_Paulo,1717902000000,2024-06-16 17:03:02.990,2024-06-16 17:03:02.990,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,75e44a4e-ec7b-4061-b994-715c60a13959,75e44a4e-ec7b-4061-b994-715c60a13959.compressed_content.json,
America/Sao_Paulo,1718506800000,2024-06-23 16:58:14.364,2024-06-23 16:58:14.364,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,dbe795d5-6736-49b0-92a8-959e0983ffb0,dbe795d5-6736-49b0-92a8-959e0983ffb0.compressed_content.json,
America/Sao_Paulo,1719111600000,2024-06-30 17:00:28.426,2024-06-30 17:00:28.426,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,a53435bd-3630-4c1a-9e02-2a30792815a9,a53435bd-3630-4c1a-9e02-2a30792815a9.compressed_content.json,
America/Sao_Paulo,1722740400000,2024-08-13 17:00:39.301,2024-08-13 17:00:39.301,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,4e0e5d3c-ad78-416d-876f-18ee3669cfa0,4e0e5d3c-ad78-416d-876f-18ee3669cfa0.compressed_content.json,
America/Sao_Paulo,1719716400000,2024-07-07 16:58:05.333,2024-07-07 16:58:05.333,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,d96f0b71-9c7a-41f8-8026-7900bb29e69d,d96f0b71-9c7a-41f8-8026-7900bb29e69d.compressed_content.json,
America/Sao_Paulo,1720321200000,2024-07-14 17:08:32.689,2024-07-14 17:08:32.689,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,d2330629-521a-42d5-ae93-3bbf51e8fda7,d2330629-521a-42d5-ae93-3bbf51e8fda7.compressed_content.json,
America/Sao_Paulo,1720926000000,2024-07-21 16:58:27.959,2024-07-21 16:58:27.959,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,3c2bd0af-5e4c-4ead-97e5-33c462b1f298,3c2bd0af-5e4c-4ead-97e5-33c462b1f298.compressed_content.json,
America/Sao_Paulo,1721530800000,2024-07-30 17:06:56.032,2024-07-30 17:06:56.032,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,a8c04662-6b46-4ccf-805d-cc4efad48564,a8c04662-6b46-4ccf-805d-cc4efad48564.compressed_content.json,
America/Sao_Paulo,1722135600000,2024-08-07 16:58:26.997,2024-08-07 16:58:26.997,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,075b076c-959e-480d-b4ad-191c006bbc51,075b076c-959e-480d-b4ad-191c006bbc51.compressed_content.json,
America/Sao_Paulo,1723345200000,2024-08-18 16:59:31.456,2024-08-18 16:59:31.456,0,0,3,XLy3VBYEN4,X,com.sec.android.app.shealth,12940ceb-9d36-45d9-9d97-8efde2268406,12940ceb-9d36-45d9-9d97-8efde2268406.compressed_content.json,
