com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2023-10-23 03:00:00.155,,2023-10-24 11:56:01.062,2023-10-23 13:20:56.761,,,7.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-24 11:56:00.245,4680e1ed-f787-4af4-9a8d-a0483d7b4807,
2023-10-26 05:13:15.743,,2023-10-27 03:34:23.193,2023-10-26 12:06:45.288,,,11.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-27 03:34:23.020,84a86397-f87e-42c5-9c11-1dbcdef002d1,
2023-10-27 15:30:47.552,,2023-10-28 03:00:00.333,2023-10-28 00:37:59.765,,,4.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-28 03:00:00.178,f2d02cc1-4370-47f8-b5f7-3c5e312bb771,
2023-10-28 03:00:01.373,,2023-10-29 03:00:00.262,2023-10-28 15:20:22.780,,,3.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-29 03:00:00.153,e5263a32-6fce-452c-a0ae-898b26cf764b,
2023-10-29 03:00:00.885,,2023-10-30 03:00:00.247,2023-10-29 22:04:35.210,,,3.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-30 03:00:00.159,fd5aae1d-624e-41a9-9e20-eac4f1d10316,
2023-10-30 03:00:00.159,,2023-10-30 23:16:24.717,2023-10-30 12:12:58.453,,,5.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-30 23:16:24.288,d8941c19-493b-4c98-8d97-88b4d5c8f867,
2023-10-31 22:16:09.695,,2023-10-31 22:29:18.713,2023-10-31 22:29:18.713,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-31 22:29:18.668,ecf1a57d-4a51-40e1-a183-a9d419b01827,
2023-11-01 00:37:47.741,,2023-11-01 02:42:30.946,2023-11-01 02:42:30.946,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-01 02:42:30.907,4100a200-fc8d-440e-913b-0fe3516bd10d,
2023-11-01 22:15:30.887,,2023-11-01 22:32:35.693,2023-11-01 22:32:35.693,,,3.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-01 22:24:31.000,91bb1e1f-899c-4e4c-a8a5-663a52604c16,
2023-11-02 12:15:15.684,,2023-11-02 14:35:01.207,2023-11-02 14:35:01.207,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-02 14:35:01.168,39d5f485-ba08-4cd7-8eef-c5db72c6bab8,
2023-11-02 21:15:32.825,,2023-11-02 21:29:55.064,2023-11-02 21:29:55.064,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-02 21:29:55.009,e9765808-8932-49d3-bca5-c27c4d6707ca,
2023-11-03 10:04:46.463,,2023-11-03 11:06:57.168,2023-11-03 11:06:57.168,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-03 11:06:57.110,0a7214d1-2d27-4256-b33d-d6e6b62015a1,
2023-11-04 12:37:53.130,,2023-11-04 12:53:25.329,2023-11-04 12:53:25.329,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 12:53:25.289,0952a54f-2c4d-4d0a-897d-90055e953fdf,
2023-11-04 14:36:02.808,,2023-11-04 15:05:16.018,2023-11-04 15:05:15.946,,,3.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 14:56:05.000,8e0946a9-f690-4c7e-a5b3-b97d1c36dd13,
2023-11-04 11:35:37.865,,2023-11-04 12:01:45.206,2023-11-04 12:01:44.369,,,5.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 11:57:05.000,0796cad7-fd3b-4f54-a1a0-6ced3eed75a8,
2023-11-04 14:56:05.000,,2023-11-04 15:10:06.491,2023-11-04 15:10:05.155,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 15:09:10.000,a2f87c76-8e05-4505-a17a-4725b64d6154,
2023-11-04 15:10:06.460,,2023-11-04 15:23:58.491,2023-11-04 15:23:58.491,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 15:10:35.999,9bfe178c-4a6f-4be3-9013-016aa753cca9,
2023-11-04 15:10:35.999,,2023-11-04 15:23:58.635,2023-11-04 15:23:58.584,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 15:16:02.000,680b1497-c5fe-42b9-81ae-88005ebbce31,
2023-11-04 15:16:02.000,,2023-11-04 15:23:58.758,2023-11-04 15:23:58.707,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-04 15:22:34.000,810f8c41-eee7-46a6-8345-0057d2a63d44,
2023-11-06 11:45:40.805,,2023-11-06 12:27:58.628,2023-11-06 12:27:58.628,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-06 12:13:55.000,a509bf2c-597d-4807-835c-2cacbfbcbb58,
2023-11-06 23:15:25.912,,2023-11-06 23:35:30.398,2023-11-06 23:35:30.398,,,5.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-06 23:35:30.343,f130d208-6b1d-4a83-a27e-d7c49a8d97ad,
2023-11-06 11:35:20.022,,2023-11-06 11:45:40.871,2023-11-06 11:45:40.871,,,4.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-06 11:45:40.806,a726a6bc-f1c3-4504-b416-264bffe92b8f,
2023-11-07 03:00:00.000,,2023-11-07 03:00:00.303,2023-11-07 03:00:00.303,,,4.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-07 03:00:00.162,2f4b9daa-75a2-4e94-b970-9650e70ce8fa,
2023-11-09 11:56:53.001,,2023-11-09 12:01:04.120,2023-11-09 12:01:04.120,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-09 11:58:18.000,1210c60b-9a67-46dc-b23d-7fefc94355f0,
2023-11-09 11:48:04.094,,2023-11-09 11:57:37.634,2023-11-09 11:57:37.634,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-09 11:56:53.001,b56b9350-2a2d-498b-9019-ab9a09f485dd,
2023-11-09 23:15:05.664,,2023-11-09 23:38:22.820,2023-11-09 23:38:22.820,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-09 23:38:22.789,56a8fd5e-3494-40a4-a319-49c6b9e19e3e,
2023-11-09 22:55:13.145,,2023-11-09 23:15:05.703,2023-11-09 23:15:05.703,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-11-09 23:15:05.664,e35d53e2-cb81-45be-b77b-69765bf6dad1,
