com.samsung.health.food_intake,6307003,6
create_sh_ver,start_time,amount,custom,modify_sh_ver,update_time,create_time,meal_type,client_data_id,name,unit,client_data_ver,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
,2023-10-14 02:15:50.789,3.0,,,2023-10-14 02:16:38.172,2023-10-14 02:16:38.172,100003,,Arroz Branco (Cozido),120001,,96.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,78117de4-439a-401e-82b8-cd8bd9b230db,895a573b-74da-493e-a80d-915a8c0cc9ef,
,2023-10-15 13:21:32.762,2.0,,,2023-10-15 13:21:44.907,2023-10-15 13:21:44.907,100001,,Ovo Frito sem Gordura,120001,,146.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,9bca7a27-5c40-4857-bbc6-ee2792220e34,16151307-2ac0-4af4-8566-e3394cf2368e,
,2023-10-15 13:21:32.762,1.0,,,2023-10-15 13:21:44.907,2023-10-15 13:21:44.907,100001,,Banana Prata,120001,,58.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,84a38045-517a-4ee2-b9b8-3bcac2b4ef28,c76fd169-d868-4ea5-85f0-410bd86c927a,
,2023-10-17 12:36:54.568,2.0,,,2023-10-17 12:37:18.240,2023-10-17 12:37:18.240,100001,,Aveia em Flocos,120001,,106.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,71b885b8-70a9-4d97-987d-709d606e8ec4,6c77dea7-7164-41a1-ab8c-13eac1644e14,
,2023-10-17 12:36:54.568,3.0,,,2023-10-17 12:37:18.240,2023-10-17 12:37:18.240,100001,,Banana Prata,120001,,174.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,a9ccba66-1ba4-46e0-a194-c33e9dee1593,c76fd169-d868-4ea5-85f0-410bd86c927a,
,2023-10-18 02:58:55.006,1.5,,,2023-10-18 02:59:11.282,2023-10-18 02:59:11.282,100002,,Ovo Frito sem Gordura,120001,,109.5,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,12f7eb33-186c-4f9f-97f4-c0ca6175759a,16151307-2ac0-4af4-8566-e3394cf2368e,
,2023-10-18 02:58:55.006,3.0,,,2023-10-18 02:59:11.282,2023-10-18 02:59:11.282,100002,,Arroz Branco (Cozido),120001,,96.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,43072f26-ecf5-4a04-b3b2-ca4384922694,895a573b-74da-493e-a80d-915a8c0cc9ef,
,2023-10-18 02:59:17.661,1.0,,,2023-10-18 02:59:50.613,2023-10-18 02:59:50.613,100005,,Aveia em Flocos(Quaker),120001,,102.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,e36e0e7d-3157-4f6f-97de-3252ca72802b,b064ef29-7848-4cd0-96d4-2e4aefa93fa1,
,2023-10-18 02:58:55.006,2.0,,,2023-10-18 02:59:11.282,2023-10-18 02:59:11.282,100002,,Feijão Cozido(Carioca),120001,,152.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,77bb376e-8e9d-4d22-90c5-6d90b2868531,a63e96de-6e90-4853-b133-dc69ad4beab5,
,2023-10-18 02:59:17.661,2.0,,,2023-10-18 02:59:50.613,2023-10-18 02:59:50.613,100005,,Banana Prata,120001,,116.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,a2975f04-29b4-4f8d-aad7-67ce1255c334,c76fd169-d868-4ea5-85f0-410bd86c927a,
62701610,2024-07-23 11:42:33.016,1.0,,62701610,2024-07-23 17:43:15.504,2024-07-23 17:43:15.504,100001,,Pão 100% Nutrição Tradicional(Wickbold),120001,,114.0,UTC-0300,XLy3VBYEN4,,com.sec.android.app.shealth,e95e2949-2244-4176-be76-270b41993ba8,5ad8c0ec-eda1-4968-bf17-92b0a98d52d5,
62701610,2024-07-23 11:42:33.016,1.0,,62701610,2024-07-23 17:43:15.504,2024-07-23 17:43:15.504,100001,,Queijo Mussarela Fatiado(Crioulo),120001,,105.0,UTC-0300,XLy3VBYEN4,,com.sec.android.app.shealth,04964669-ddb8-4d6c-bbdf-9a0a18541498,93ce3cda-7fbf-49c6-8eb8-e90ef182a378,
62701610,2024-07-23 11:42:33.016,100.0,,62701610,2024-07-23 17:43:15.504,2024-07-23 17:43:15.504,100001,,Mamão Formosa,120002,,45.0,UTC-0300,XLy3VBYEN4,,com.sec.android.app.shealth,d09ae241-5020-4f68-8b44-14eaf34cbb11,e58405d7-eaaf-4158-a528-1fa65aac5af8,
62701610,2024-07-23 14:43:23.724,180.0,,62701610,2024-07-23 17:44:24.234,2024-07-23 17:44:24.234,100002,,Arroz Branco (Cozido),120002,,232.2,UTC-0300,XLy3VBYEN4,,com.sec.android.app.shealth,bcbc8575-a1d8-4e74-80f9-3fb8e003ca91,895a573b-74da-493e-a80d-915a8c0cc9ef,
62701610,2024-07-23 14:43:23.724,130.0,,62701610,2024-07-23 17:44:24.234,2024-07-23 17:44:24.234,100002,,Contra-filé,120002,,175.5,UTC-0300,XLy3VBYEN4,,com.sec.android.app.shealth,1f7bcb8e-0529-4591-b830-a338c1d40922,47b66d3d-ca0b-4ba2-b884-682737edffd7,
62701610,2024-07-23 14:43:23.724,30.0,,62701610,2024-07-23 17:44:24.234,2024-07-23 17:44:24.234,100002,,Couve Refogada,120002,,27.6,UTC-0300,XLy3VBYEN4,,com.sec.android.app.shealth,8a66b7c0-47cf-425e-b965-eca2546b6b9e,211baa25-7297-4b4a-9d4b-8d783f5e34d5,
