com.samsung.shealth.activity.day_summary,6307003,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,63060070,0,0,0,200,0,60,0,63060070,2025-12-10 14:24:02.137,10,2025-12-10 14:24:02.137,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,b70f0ad7-7d15-4387-a1ae-72e00097eaac.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,b70f0ad7-7d15-4387-a1ae-72e00097eaac,2025-11-13 00:00:00.000,
0,63060070,0,0,10566,200,6553887,60,0,63070030,2025-12-16 01:01:40.379,10,2025-12-11 03:00:00.457,0.0,30,30,-1,480000,180,15,0,8,8004.6597,0,331.76,a05fb33f-6086-4840-9858-4e4b4056afc3.extra_data.json,bvFPH0+ZC9,30800,com.sec.android.app.shealth,6523087,86400000,a05fb33f-6086-4840-9858-4e4b4056afc3,2025-12-11 00:00:00.000,
0,63060070,0,0,5082,200,3363208,60,0,63070030,2025-12-16 01:01:40.239,10,2025-12-12 03:00:00.381,0.0,30,30,-1,60000,91,16,0,8,3780.1602,0,159.17995,5e75e7cc-a42d-4438-aa07-1780c41cdf85.extra_data.json,bvFPH0+ZC9,25600,com.sec.android.app.shealth,3337608,86400000,5e75e7cc-a42d-4438-aa07-1780c41cdf85,2025-12-12 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.693,,2023-10-10 17:45:22.693,,,,-1,0,0,,,,0.0,,0.0,6b8d29c2-4ffc-4ff9-839c-2621d5e839e7.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,6b8d29c2-4ffc-4ff9-839c-2621d5e839e7,2023-10-02 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.303,,2023-10-10 17:45:22.303,,,,-1,0,0,,,,0.0,,0.0,5b212f74-c4f1-4d41-8c19-bcec272bd521.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,5b212f74-c4f1-4d41-8c19-bcec272bd521,2023-09-27 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.052,,2023-10-10 17:45:22.052,,,,-1,0,0,,,,0.0,,0.0,13ace0a7-a0f7-46f4-b990-14d6909580e2.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,13ace0a7-a0f7-46f4-b990-14d6909580e2,2023-09-25 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.915,,2023-10-10 17:45:22.915,,,,-1,0,0,,,,0.0,,0.0,a37a8290-791c-4788-ab81-45e62b694a32.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,a37a8290-791c-4788-ab81-45e62b694a32,2023-10-04 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:20.815,,2023-10-10 17:45:20.815,,,,-1,0,0,,,,0.0,,0.0,808dc404-41f0-4df3-b49b-c0500871aa23.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,808dc404-41f0-4df3-b49b-c0500871aa23,2023-09-16 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.523,,2023-10-10 17:45:21.523,,,,-1,0,0,,,,0.0,,0.0,fff62902-310a-4dde-84fe-f1a8c92b9b3e.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,fff62902-310a-4dde-84fe-f1a8c92b9b3e,2023-09-20 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.996,,2023-10-10 17:45:21.996,,,,-1,0,0,,,,0.0,,0.0,600e483f-ee85-43b0-b875-504e28c83f45.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,600e483f-ee85-43b0-b875-504e28c83f45,2023-09-24 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.603,,2023-10-10 17:45:22.603,,,,-1,0,0,,,,0.0,,0.0,8902769c-62ce-425d-9a13-ebf2470254bf.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,8902769c-62ce-425d-9a13-ebf2470254bf,2023-10-01 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.789,,2023-10-10 17:45:21.789,,,,-1,0,0,,,,0.0,,0.0,56ed7f9e-f0b3-414a-9576-4c66af389195.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,56ed7f9e-f0b3-414a-9576-4c66af389195,2023-09-23 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:23.154,,2023-10-10 17:45:23.154,,,,-1,0,0,,,,0.0,,0.0,17879cca-8fd6-4b8e-8b7b-ede210681d60.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,17879cca-8fd6-4b8e-8b7b-ede210681d60,2023-10-08 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:20.557,,2023-10-10 17:45:20.557,,,,-1,0,0,,,,0.0,,0.0,0c128125-8e37-448c-8c77-641edc3989f4.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,0c128125-8e37-448c-8c77-641edc3989f4,2023-09-14 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:20.697,,2023-10-10 17:45:20.697,,,,-1,0,0,,,,0.0,,0.0,c89bb453-1161-4c79-8b1f-bfc990697823.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,c89bb453-1161-4c79-8b1f-bfc990697823,2023-09-15 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.575,,2023-10-10 17:45:21.575,,,,-1,0,0,,,,0.0,,0.0,bd550c36-86b2-4235-ac2d-6b9918db0b28.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,bd550c36-86b2-4235-ac2d-6b9918db0b28,2023-09-21 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:20.980,,2023-10-10 17:45:20.980,,,,-1,0,0,,,,0.0,,0.0,61d36811-407e-4720-a392-2dd3b12e0333.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,61d36811-407e-4720-a392-2dd3b12e0333,2023-09-17 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.818,,2023-10-10 17:45:22.818,,,,-1,0,0,,,,0.0,,0.0,ab69d36e-bf54-47e7-ab00-bb08a7068bea.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,ab69d36e-bf54-47e7-ab00-bb08a7068bea,2023-10-03 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:23.099,,2023-10-10 17:45:23.099,,,,-1,0,0,,,,0.0,,0.0,3fe87fda-0740-4dd8-b2de-a7d958132f8c.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,3fe87fda-0740-4dd8-b2de-a7d958132f8c,2023-10-07 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.996,,2023-10-10 17:45:22.996,,,,-1,0,0,,,,0.0,,0.0,fe2a6cbc-78ea-493d-84d0-94062c842b47.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,fe2a6cbc-78ea-493d-84d0-94062c842b47,2023-10-05 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:23.054,,2023-10-10 17:45:23.054,,,,-1,0,0,,,,0.0,,0.0,7750c4a7-e34f-4289-a195-7221664c1b50.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,7750c4a7-e34f-4289-a195-7221664c1b50,2023-10-06 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.206,,2023-10-10 17:45:21.206,,,,-1,0,0,,,,0.0,,0.0,921229b9-beb4-4031-a025-547015687d55.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,921229b9-beb4-4031-a025-547015687d55,2023-09-18 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.366,,2023-10-10 17:45:22.366,,,,-1,0,0,,,,0.0,,0.0,5d4cbec6-34b8-4ab1-963e-a768437262cf.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,5d4cbec6-34b8-4ab1-963e-a768437262cf,2023-09-28 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.527,,2023-10-10 17:45:22.527,,,,-1,0,0,,,,0.0,,0.0,225f9676-271e-4e21-82d2-fd6e13fbafd0.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,225f9676-271e-4e21-82d2-fd6e13fbafd0,2023-09-30 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.219,,2023-10-10 17:45:22.219,,,,-1,0,0,,,,0.0,,0.0,0fa7db2d-8b41-4472-a9f3-ff26ec10c7af.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,0fa7db2d-8b41-4472-a9f3-ff26ec10c7af,2023-09-26 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:23.221,,2023-10-10 17:45:23.221,,,,-1,0,0,,,,0.0,,0.0,c7284bb3-b66b-4e0a-95be-689419dc18de.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,c7284bb3-b66b-4e0a-95be-689419dc18de,2023-10-09 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.469,,2023-10-10 17:45:21.469,,,,-1,0,0,,,,0.0,,0.0,4636f02f-a3fd-4550-af93-aee7a37856a0.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,4636f02f-a3fd-4550-af93-aee7a37856a0,2023-09-19 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:22.435,,2023-10-10 17:45:22.435,,,,-1,0,0,,,,0.0,,0.0,781912b8-db57-4ea1-b08b-9951548b661e.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,781912b8-db57-4ea1-b08b-9951548b661e,2023-09-29 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:20.420,,2023-10-10 17:45:20.420,,,,-1,0,0,,,,0.0,,0.0,4372fb8c-f86e-4062-ab8c-b3f95f475a8b.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,4372fb8c-f86e-4062-ab8c-b3f95f475a8b,2023-09-13 00:00:00.000,
,,,,0,,0,90,0,,2023-10-10 17:45:21.633,,2023-10-10 17:45:21.633,,,,-1,0,0,,,,0.0,,0.0,f43b7e2f-506a-4b7e-8cf3-fc8c1af3b98d.extra_data.json,zygK3IiKBU,0,com.sec.android.app.shealth,0,-1,f43b7e2f-506a-4b7e-8cf3-fc8c1af3b98d,2023-09-22 00:00:00.000,
,,,,3068,,1940176,90,43696,,2023-10-11 02:01:40.511,,2023-10-10 17:45:20.260,,,,-1,360000,34,,,,2322.0002,,102.326996,af793f06-4422-4a08-a340-cf36c0166789.extra_data.json,zygK3IiKBU,9200,com.sec.android.app.shealth,1887280,52333287,af793f06-4422-4a08-a340-cf36c0166789,2023-10-10 00:00:00.000,
,,,,5736,,7854545,60,4911505,,2023-10-12 03:02:24.038,,2023-10-11 03:00:04.598,,,,-1,4911505,216,,,,3880.772,,599.81555,439d92c1-a090-4d79-ade3-3d111c9bf903.extra_data.json,zygK3IiKBU,72194,com.sec.android.app.shealth,2870846,25260000,439d92c1-a090-4d79-ade3-3d111c9bf903,2023-10-11 00:00:00.000,
,,,,5671,,3351736,60,0,,2023-10-13 02:22:26.413,,2023-10-12 03:02:23.154,,,,-1,1475311,91,,,,4033.4167,,284.20343,54ec6383-803b-4fc2-aa4b-1424922fb28a.extra_data.json,zygK3IiKBU,24400,com.sec.android.app.shealth,3327336,32940000,54ec6383-803b-4fc2-aa4b-1424922fb28a,2023-10-12 00:00:00.000,
,,,,2689,,1773922,60,0,,2023-10-14 02:55:01.125,,2023-10-13 03:00:01.198,,,,-1,60000,48,,,,2039.1003,,89.510025,4f1fb29c-5ee9-4911-993a-836f28bf57f5.extra_data.json,zygK3IiKBU,2400,com.sec.android.app.shealth,1771522,27540000,4f1fb29c-5ee9-4911-993a-836f28bf57f5,2023-10-13 00:00:00.000,
,,,,12798,,14580570,60,7213436,,2023-10-15 07:17:23.256,,2023-10-14 03:32:51.928,,,,-1,7213436,403,,,,9217.751,,1076.1731,a0bef6a3-93e9-48aa-a1ed-4e7463571d30.extra_data.json,zygK3IiKBU,65737,com.sec.android.app.shealth,7301397,18180000,a0bef6a3-93e9-48aa-a1ed-4e7463571d30,2023-10-14 00:00:00.000,
,,,,14137,,8610584,60,0,,2023-10-16 03:10:54.341,,2023-10-15 03:00:00.915,,,,-1,720000,236,,,,10890.438,,460.42953,92f17c82-28b5-443a-985a-6a0ba3011a8e.extra_data.json,zygK3IiKBU,50818,com.sec.android.app.shealth,8559766,15360000,92f17c82-28b5-443a-985a-6a0ba3011a8e,2023-10-15 00:00:00.000,
,,,,8330,,5158350,60,0,,2023-10-17 12:37:33.434,,2023-10-16 03:00:02.224,,,,-1,360000,141,,,,6369.9434,,269.13113,fbd43987-367f-49cd-aaad-c7a824d578c4.extra_data.json,zygK3IiKBU,16800,com.sec.android.app.shealth,5141550,31620000,fbd43987-367f-49cd-aaad-c7a824d578c4,2023-10-16 00:00:00.000,
,,,,4109,,2559207,60,0,,2023-10-18 02:58:49.089,,2023-10-17 03:00:01.032,,,,-1,480000,70,,,,3167.5542,,134.89961,0f3242ef-dd2c-44db-b9a5-f642a0f39906.extra_data.json,zygK3IiKBU,17600,com.sec.android.app.shealth,2541607,31020000,0f3242ef-dd2c-44db-b9a5-f642a0f39906,2023-10-17 00:00:00.000,
,,,,4162,,2736072,60,0,,2023-10-19 04:12:47.998,,2023-10-18 03:00:00.813,,,,-1,60000,75,,,,3119.3599,,144.28035,457e6f17-553e-4cae-a4a8-5bf09dcf1538.extra_data.json,zygK3IiKBU,18185,com.sec.android.app.shealth,2717887,31620000,457e6f17-553e-4cae-a4a8-5bf09dcf1538,2023-10-18 00:00:00.000,
,,,,9930,,6154752,60,0,,2023-10-20 02:35:36.318,,2023-10-19 03:04:45.919,,,,-1,420000,170,,,,7598.4614,,331.6899,85152c3c-3a02-43af-a6d3-a90bce1643a7.extra_data.json,zygK3IiKBU,28800,com.sec.android.app.shealth,6125952,26880000,85152c3c-3a02-43af-a6d3-a90bce1643a7,2023-10-19 00:00:00.000,
