com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63060070,,63060070,2025-12-12 13:16:13.370,2025-12-12 13:16:13.370,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,9da3d124-f567-4675-8f41-8310ed3dd129,1723852800000,
63060070,,63060070,2025-12-12 13:16:13.377,2025-12-12 13:16:13.377,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,3fb1904d-0cec-4a21-84e7-5fa2425cad46,1703721600000,
63060070,,63060070,2025-12-12 13:16:13.385,2025-12-12 13:16:13.385,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,34a59f57-ed82-41ba-91b3-a6e3430e16d0,1726185600000,
63060070,,63060070,2025-12-12 13:16:13.392,2025-12-12 13:16:13.392,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,c917b777-5075-47e4-bc2a-9b5f747e14fd,1717545600000,
63060070,,63060070,2025-12-12 13:16:13.402,2025-12-12 13:16:13.402,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,87d710b6-686c-432d-ad27-888e477d2425,1722729600000,
63060070,,63060070,2025-12-12 13:16:13.411,2025-12-12 13:16:13.411,8,1,bvFPH0+ZC9,com.sec.android.app.shealth,f5ab8b2f-600e-4c5f-bc66-1fd2af0454f3,1731456000000,
63060070,,63060070,2025-12-12 13:16:13.423,2025-12-12 13:16:13.423,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,3d62e969-2fb1-44f5-9b49-dbe9b941aec4,1697414400000,
63060070,,63060070,2025-12-12 13:16:13.431,2025-12-12 13:16:13.431,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,e6e3ff22-d94a-4141-8ea9-3156a380f62c,1715299200000,
63060070,,63060070,2025-12-12 13:16:13.441,2025-12-12 13:16:13.441,7,1,bvFPH0+ZC9,com.sec.android.app.shealth,0bd4b6b9-eda0-4467-ada6-13c70517fa4f,1717027200000,
63060070,,63060070,2025-12-12 13:16:13.451,2025-12-12 13:16:13.451,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,c378bc2e-076f-4998-bfd3-4d16b7d86771,1722816000000,
63060070,,63060070,2025-12-12 13:16:13.460,2025-12-12 13:16:13.460,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,b52230d0-80e1-4675-9622-0ae09ecfdd27,1724544000000,
63060070,,63060070,2025-12-12 13:16:13.473,2025-12-12 13:16:13.473,13,1,bvFPH0+ZC9,com.sec.android.app.shealth,e021705a-d473-481e-b01d-05b4bec41292,1726272000000,
63060070,,63060070,2025-12-12 13:16:13.486,2025-12-12 13:16:13.486,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,54f4416d-b1fc-44a3-8d02-87bee60592ca,1721088000000,
63060070,,63060070,2025-12-12 13:16:13.501,2025-12-12 13:16:13.501,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,7b291e0f-cac3-436b-a53b-b4457bfccb61,1719360000000,
63060070,,63060070,2025-12-12 13:16:13.515,2025-12-12 13:16:13.515,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,86327496-3404-4327-819d-2679626cd4eb,1702598400000,
63060070,,63060070,2025-12-12 13:16:13.530,2025-12-12 13:16:13.530,7,1,bvFPH0+ZC9,com.sec.android.app.shealth,fae31b57-05de-4a1e-883b-d35f2dfc5712,1706054400000,
63060070,,63060070,2025-12-12 13:16:13.546,2025-12-12 13:16:13.546,9,1,bvFPH0+ZC9,com.sec.android.app.shealth,05c1cbda-c839-4ca3-8fc5-127f99f0118f,1730332800000,
63060070,,63060070,2025-12-12 13:16:13.561,2025-12-12 13:16:13.561,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,e5c02e08-c715-4a56-ac40-78d6fb705b43,1707264000000,
63060070,,63060070,2025-12-12 13:16:13.582,2025-12-12 13:16:13.582,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,70042bee-8923-45a0-a175-08a70bbd2b5b,1727395200000,
63060070,,63060070,2025-12-12 13:16:13.600,2025-12-12 13:16:13.600,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,19aab0e2-b374-427a-aa8f-8c698d3bd4ce,1729123200000,
63060070,,63060070,2025-12-12 13:16:13.614,2025-12-12 13:16:13.614,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,bab64f73-db2f-4d6f-bf52-777389cd376e,1715904000000,
63060070,,63060070,2025-12-12 13:16:13.627,2025-12-12 13:16:13.627,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,998f5ef4-64b6-49c4-89c6-5c9959ebec5d,1725667200000,
63060070,,63060070,2025-12-12 13:16:13.645,2025-12-12 13:16:13.645,7,1,bvFPH0+ZC9,com.sec.android.app.shealth,cb8d5398-e025-42df-bf05-4a4ba94afbda,1717632000000,
63060070,,63060070,2025-12-12 13:16:13.667,2025-12-12 13:16:13.667,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,d3ce2042-1c84-4bff-8c66-7cfbc56fbeed,1730851200000,
63060070,,63060070,2025-12-12 13:16:13.688,2025-12-12 13:16:13.688,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,da4ca736-fb70-42f7-92a3-3f1cec4f5c15,1699747200000,
63060070,,63060070,2025-12-12 13:16:13.718,2025-12-12 13:16:13.718,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,45e2804f-fd74-4487-abd4-d7cfb879d3fe,1722211200000,
63060070,,63060070,2025-12-12 13:16:13.742,2025-12-12 13:16:13.742,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,cff2f4f2-8529-4d4b-a51c-6fe15dbd9c19,1723939200000,
63060070,,63060070,2025-12-12 13:16:13.771,2025-12-12 13:16:13.771,9,1,bvFPH0+ZC9,com.sec.android.app.shealth,052155e6-55ac-40fe-963b-8e4aed5ecf2c,1720483200000,
63060070,,63060070,2025-12-12 13:16:13.786,2025-12-12 13:16:13.786,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,c36a5976-bb44-49ac-b272-40975f9bce37,1704931200000,
63060070,,63060070,2025-12-12 13:16:13.800,2025-12-12 13:16:13.800,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,3c7619b5-d7f6-4e7e-bf6b-a3eeee7d92fc,1706659200000,
63060070,,63060070,2025-12-12 13:16:13.809,2025-12-12 13:16:13.809,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,17fb143b-0423-406b-b430-c8aaa475bba7,1703203200000,
63060070,,63060070,2025-12-12 13:16:13.830,2025-12-12 13:16:13.830,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,2828b78f-a110-4d81-8613-4995e956a142,1701475200000,
63060070,,63060070,2025-12-12 13:16:13.856,2025-12-12 13:16:13.856,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,f6395f94-8f55-491b-9f0a-2fcc09c1c485,1700956800000,
63060070,,63060070,2025-12-12 13:16:13.866,2025-12-12 13:16:13.866,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,f69a0718-d4bc-440a-a23d-71ee178042d4,1697500800000,
63060070,,63060070,2025-12-12 13:16:13.876,2025-12-12 13:16:13.876,10,1,bvFPH0+ZC9,com.sec.android.app.shealth,38e085af-1cdf-4857-943f-9f3fae9c3624,1699228800000,
